Page,URL,Rect,Context
1,https://sunassgobpe-my.sharepoint.com/personal/esosa_sunass_gob_pe/_layouts/15/onedrive.aspx?CT=1748371545497&OR=OWA%2DNT%2DMail&CID=113f9c97%2D930c%2D2a35%2D5d31%2D5162a476992f&ct=1692131206266&or=OWA%2DNT&ga=1&id=%2Fpersonal%2Fesosa%5Fsunass%5Fgob%5Fpe%2FDocuments%2FCompartido%2FEvidencias%5F2023%2D2024%2FPuno%2F2025%2E05%2E27%2E%20Prensa%5Fmantenimiento%20de%20las%20PTAP%5FSin%20Fronteras%2E%2Ejpg&parent=%2Fpersonal%2Fesosa%5Fsunass%5Fgob%5Fpe%2FDocuments%2FCompartido%2FEvidencias%5F2023%2D2024%2FPuno,"(323.9720458984375, 270.1923828125, 404.32525634765625, 280.3155517578125)","vicio que se brinda a los usuarios. nteras, Sin Fronteras Puno, Illary T s Sol de los Andes, Sur Noticias Pe"
1,https://sunassgobpe-my.sharepoint.com/personal/esosa_sunass_gob_pe/_layouts/15/stream.aspx?id=%2Fpersonal%2Fesosa%5Fsunass%5Fgob%5Fpe%2FDocuments%2FCompartido%2FEvidencias%5F2023%2D2024%2FPuno%2F2025%2E05%2E27%2E%20Radio%5FMantenimiento%20de%20las%20PTAP%5FEntrevista%20Illary%2Emp4&referrer=StreamWebApp%2EWeb&referrerScenario=AddressBarCopied%2Eview%2Ec93148c6%2D96da%2D48ff%2D8ea4%2Dd32fc6a24c7a,"(409.3868713378906, 270.1923828125, 441.6546936035156, 280.3155517578125)","los usuarios. (Radio O s Puno, Illary Tv, Illary N ur Noticias Perú, HBA"
1,https://www.facebook.com/share/p/1BndpujdNC/,"(446.71630859375, 270.1923828125, 504.9249572753906, 280.3155517578125)","rios. (Radio Onda Azul, Onda ary Tv, Illary Nacional, La De as Perú, HBA Noticias, El Obje"
1,https://www.facebook.com/story.php?story_fbid=770265875329421&id=100070380456052&rdid=qopg2syMnMYPZZwM,"(509.986572265625, 270.1923828125, 554.908447265625, 280.3155517578125)","da Azul, Onda Azul, acional, La Decana, La oticias, El Objetivo.pe,"
1,https://ladecana.pe/sunass-exige-mantenimiento-preventivo-en-plantas-de-agua-potable-a-las-diferentes-empresas-prestadoras-de-servicios-de-agua-potable/,"(559.9700927734375, 270.1923828125, 570.7260131835938, 280.3155517578125)","a Azul, ecana, La bjetivo.pe,"
1,https://ladecana.pe/sunass-exige-mantenimiento-preventivo-en-plantas-de-agua-potable-a-las-diferentes-empresas-prestadoras-de-servicios-de-agua-potable/,"(45.58296203613281, 280.3155517578125, 77.85079193115234, 290.43878173828125)","Onda Azul, Ond Decana, La De El Objetivo, rad"
1,https://sunassgobpe-my.sharepoint.com/personal/esosa_sunass_gob_pe/_layouts/15/stream.aspx?id=%2Fpersonal%2Fesosa%5Fsunass%5Fgob%5Fpe%2FDocuments%2FCompartido%2FEvidencias%5F2023%2D2024%2FPuno%2F2025%2E05%2E27%2E%20Radio%5FMantenimiento%20de%20las%20PTAP%5FLa%20Decana%2Emp4&referrer=StreamWebApp%2EWeb&referrerScenario=AddressBarCopied%2Eview%2E888823fe%2D640c%2D4b40%2D8e4e%2D77abb583db45,"(82.91240692138672, 280.3155517578125, 162.00021362304688, 290.43878173828125)","nda Azul, Onda Azul Noticias, diar ecana, La Decana noticias, radio S l Objetivo, radio Aswanqhari, Juliac"
1,https://www.facebook.com/share/p/16J4gWbhjG/,"(167.0618438720703, 280.3155517578125, 259.4364013671875, 290.43878173828125)","Noticias, diario Sin Fronteras, Sin Fro oticias, radio Sol de los Andes, noticia anqhari, Juliaca al Día, Enlace Region"
1,https://sunassgobpe-my.sharepoint.com/personal/esosa_sunass_gob_pe/_layouts/15/stream.aspx?id=%2Fpersonal%2Fesosa%5Fsunass%5Fgob%5Fpe%2FDocuments%2FCompartido%2FEvidencias%5F2023%2D2024%2FPuno%2F2025%2E05%2E27%2E%20Radio%5FMantenimiento%20de%20las%20PTAP%5FRSA%20Sol%20de%20los%20Andes%2Emp4&referrer=StreamWebApp%2EWeb&referrerScenario=AddressBarCopied%2Eview%2E720bc926%2D6eb2%2D4367%2Daa2a%2D39c5ba7aafd5,"(264.4980163574219, 280.3155517578125, 367.6285095214844, 290.43878173828125)","nteras, Sin Fronteras, Sin Fronteras Pun Andes, noticias Sol de los Andes, Sur No Enlace Regional Puno, Puno Noticias.pe"
1,https://www.facebook.com/share/p/15nS1Ks2oP/,"(372.69012451171875, 280.3155517578125, 444.8182373046875, 290.43878173828125)","Fronteras Puno, Illary Tv, Illary N Andes, Sur Noticias Perú, HBA N no Noticias.pe, Andina Noticias P"
